index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
feb-20,0,405,0,0,0,0,0,0,0,0,0,0,0,406," 17,750,586 "
mar-20,0,405,0,0,0,0,0,1,0,0,0,0,0,406," 17,878,459 "
abr-20,0,405,0,0,0,0,0,1,0,0,0,0,0,406," 18,019,048 "
may-20,0,405,0,0,0,0,0,1,0,0,0,0,0,406," 18,146,267 "
jun-20,0,405,0,0,0,0,0,1,0,0,0,0,0,406," 18,264,640 "
jul-20,0,404,0,0,0,0,0,1,0,0,0,0,0,406," 18,394,875 "
ago-20,1,404,0,0,0,0,0,1,0,0,0,0,0,406," 18,619,387 "
sep-20,1,404,0,0,0,0,0,1,0,0,0,0,0,406," 18,748,692 "
oct-20,1,404,0,0,0,0,0,1,0,0,0,0,0,406," 18,854,234 "
nov-20,1,403,0,0,0,0,0,1,0,0,0,0,0,406," 18,975,411 "
dic-20,1,403,0,0,0,0,0,1,0,0,0,0,0,406," 19,109,522 "
Clientes Generados,,,,,,,,,,,,,,,
ene-16,,,9,,,,,,,,,,,9," 279,593 "
feb-16,,,16,,,,,,,,,,,16," 517,506 "
mar-16,,,24,,,,,,,,,,,24," 777,367 "
abr-16,,,31,,,,,,,,,,,31," 1,010,714 "
may-16,,,35,,,,,,,,,,,35," 1,160,263 "
jun-16,,,40,,,,,,,,,,,40," 1,322,681 "
jul-16,,,45,,,,,,,,,,,45," 1,504,354 "
ago-16,,,51,,,,,,,,,,,51," 1,696,347 "
sep-16,,,56,,,,,,,,,,,56," 1,885,662 "
oct-16,,,62,,,,,,,,,,,62," 2,114,486 "
nov-16,,,70,,,,,,,,,,,70," 2,409,192 "
dic-16,,,77,,,,,,,,,,,77," 2,641,956 "
ene-17,,,4,,,,,,,,,,,4," 146,113 "
feb-17,,,8,,,,,,,,,,,8," 273,254 "
mar-17,,,12,,,,,,,,,,,12," 427,861 "
abr-17,,,16,,,,,,,,,,,16," 577,999 "
may-17,,,21,,,,,,,,,,,21," 746,583 "
jun-17,,,26,,,,,,,,,,,26," 916,555 "
jul-17,,,30,,,,,,,,,,,30," 1,090,685 "
ago-17,,,34,,,,,,,,,,,34," 1,232,358 "
sep-17,,,38,,,,,,,,,,,38," 1,373,730 "
oct-17,,,43,,,,,,,,,,,43," 1,547,237 "
nov-17,,,48,,,,,,,,,,,48," 1,755,656 "
dic-17,,,54,,,,,,,,,,,54," 1,971,261 "
ene-18,,,5,,,,,,,,,,,5," 172,348 "
feb-18,,,9,,,,,,,,,,,9," 352,204 "
mar-18,,,15,,,,,,,,,,,15," 564,776 "
abr-18,,,20,,,,,,,,,,,20," 754,880 "
may-18,,,25,,,,,,,,,,,25," 963,202 "
jun-18,,,31,,,,,,,,,,,31," 1,159,866 "
jul-18,,,36,,,,,,,,,,,36," 1,363,732 "
ago-18,,,41,,,,,,,,,,,41," 1,571,901 "
sep-18,,,47,,,,,,,,,,,47," 1,794,115 "
oct-18,,,52,,,,,,,,,,,52," 1,996,061 "
nov-18,,,57,,,,,,,,,,,57," 2,213,745 "
dic-18,,,63,,,,,,,,,,,63," 2,473,873 "
ene-19,,,5,,,,,,,,,,,5," 218,402 "
feb-19,,,10,,,,,,,,,,,10," 418,509 "
mar-19,,,16,,,,,,,,,,,16," 643,320 "
abr-19,,,22,,,,,,,,,,,22," 856,067 "
may-19,,,28,,,,,,,,,,,28," 1,093,453 "
jun-19,,,33,,,,,,,,,,,33," 1,315,687 "
jul-19,,,39,,,,,,,,,,,39," 1,542,326 "
ago-19,,,44,,,,,,,,,,,44," 1,776,028 "
sep-19,,,49,,,,,,,,,,,49," 1,992,351 "
oct-19,,,55,,,,,,,,,,,55," 2,224,932 "
nov-19,,,60,,,,,,,,,,,60," 2,480,079 "
dic-19,,,66,,,,,,,,,,,66," 2,740,994 "
ene-20,,,6,,,,,,,,,,,6," 209,651 "
feb-20,,,11,,,,,,,,,,,11," 415,138 "
mar-20,,,17,,,,,,,,,,,17," 653,302 "
abr-20,,,20,,,,,,,,,,,20," 730,554 "
may-20,,,22,,,,,,,,,,,22," 816,418 "
jun-20,,,25,,,,,,,,,,,25," 939,519 "
jul-20,,,29,,,,,,,,,,,29," 1,093,400 "
ago-20,,,34,,,,,,,,,,,34," 1,276,545 "
sep-20,,,39,,,,,,,,,,,39," 1,469,857 "
oct-20,,,44,,,,,,,,,,,44," 1,683,553 "
nov-20,,,51,,,,,,,,,,,51," 1,942,882 "
dic-20,,,58,,,,,,,,,,,58," 2,230,442 "
Nunca +15,,,,,,,,,,,,,,,
ene-16,0,0,0,46,0,0,0,0,0,0,0,0,0,46," 1,532,676 "
feb-16,1,0,0,45,0,0,0,0,0,0,0,0,0,46," 1,556,277 "
mar-16,1,0,0,45,0,0,0,0,0,0,0,0,0,46," 1,577,670 "
abr-16,1,0,0,45,0,0,0,0,0,0,0,0,0,46," 1,601,162 "
may-16,1,0,0,44,0,0,0,0,0,0,0,0,0,46," 1,622,401 "
jun-16,2,0,0,44,0,0,0,0,0,0,0,0,0,46," 1,635,921 "
jul-16,2,0,0,43,0,0,0,0,0,0,0,0,0,46," 1,659,910 "
ago-16,2,0,0,43,0,0,0,0,0,0,0,0,0,46," 1,677,313 "
sep-16,2,0,0,43,0,0,0,0,0,0,0,0,0,46," 1,697,596 "
oct-16,2,0,0,43,0,0,0,0,0,0,0,0,0,46," 1,717,064 "
nov-16,2,0,0,42,0,0,0,1,0,0,0,0,0,46," 1,731,886 "
dic-16,3,0,0,42,0,0,0,1,0,0,0,0,0,46," 1,740,446 "
ene-17,0,0,0,48,0,0,0,0,0,0,0,0,0,49," 1,760,172 "
feb-17,1,0,0,48,0,0,0,0,0,0,0,0,0,49," 1,781,523 "
mar-17,1,0,0,48,0,0,0,0,0,0,0,0,0,49," 1,801,509 "
abr-17,1,0,0,47,0,0,0,0,0,0,0,0,0,49," 1,822,441 "
may-17,1,0,0,47,0,0,0,0,0,0,0,0,0,49," 1,841,122 "
jun-17,1,0,0,47,0,0,0,0,0,0,0,0,0,49," 1,856,136 "
jul-17,2,0,0,46,0,0,0,0,0,0,0,0,0,49," 1,871,734 "
ago-17,2,0,0,46,0,0,0,0,0,0,0,0,0,49," 1,883,375 "
sep-17,2,0,0,46,0,0,0,1,0,0,0,0,0,49," 1,884,318 "
oct-17,2,0,0,45,0,0,0,1,0,0,0,0,0,49," 1,885,280 "
nov-17,2,0,0,45,0,0,0,1,0,0,0,0,0,49," 1,884,047 "
dic-17,2,0,0,45,0,0,0,1,0,0,0,0,0,49," 1,878,035 "
ene-18,0,0,0,49,0,0,0,0,0,0,0,0,0,50," 1,882,256 "
feb-18,1,0,0,49,0,0,0,0,0,0,0,0,0,50," 1,893,128 "
mar-18,1,0,0,49,0,0,0,0,0,0,0,0,0,50," 1,924,974 "
abr-18,1,0,0,48,0,0,0,0,0,0,0,0,0,50," 1,949,129 "
may-18,1,0,0,48,0,0,0,0,0,0,0,0,0,50," 1,950,525 "
jun-18,2,0,0,48,0,0,0,0,0,0,0,0,0,50," 1,950,035 "
jul-18,2,0,0,47,0,0,0,0,0,0,0,0,0,50," 1,950,022 "
ago-18,2,0,0,47,0,0,0,0,0,0,0,0,0,50," 1,946,139 "
sep-18,2,0,0,47,0,0,0,1,0,0,0,0,0,50," 1,941,744 "
oct-18,2,0,0,46,0,0,0,1,0,0,0,0,0,50," 1,936,018 "
nov-18,2,0,0,46,0,0,0,1,0,0,0,0,0,50," 1,924,920 "
dic-18,3,0,0,45,0,0,0,1,0,0,0,0,0,50," 1,908,064 "
ene-19,0,0,0,47,0,0,0,0,0,0,0,0,0,47," 1,899,494 "
feb-19,1,0,0,46,0,0,0,0,0,0,0,0,0,47," 1,894,176 "
mar-19,1,0,0,46,0,0,0,0,0,0,0,0,0,47," 1,887,980 "
abr-19,1,0,0,46,0,0,0,0,0,0,0,0,0,47," 1,882,761 "
may-19,1,0,0,46,0,0,0,0,0,0,0,0,0,47," 1,876,503 "
jun-19,1,0,0,45,0,0,0,0,0,0,0,0,0,47," 1,871,314 "
jul-19,1,0,0,45,0,0,0,0,0,0,0,0,0,47," 1,867,499 "
ago-19,1,0,0,45,0,0,0,0,0,0,0,0,0,47," 1,863,881 "
sep-19,2,0,0,44,0,0,0,0,0,0,0,0,0,47," 1,862,673 "
oct-19,2,0,0,44,0,0,0,1,0,0,0,0,0,47," 1,862,580 "
nov-19,2,0,0,44,0,0,0,1,0,0,0,0,0,47," 1,858,959 "
dic-19,2,0,0,44,0,0,0,1,0,0,0,0,0,47," 1,851,815 "
ene-20,0,0,,43,0,0,0,0,0,0,0,0,0,43," 1,851,938 "
feb-20,0,0,,43,0,0,0,0,0,0,0,0,0,43," 1,853,706 "
mar-20,0,0,,42,0,0,0,0,0,0,0,0,0,43," 1,855,854 "
abr-20,0,0,,42,0,0,0,0,0,0,0,0,0,43," 1,865,882 "
may-20,0,0,,42,0,0,0,0,0,0,0,0,0,43," 1,878,804 "
jun-20,1,0,,42,0,0,0,0,0,0,0,0,0,43," 1,889,658 "
jul-20,1,0,,42,0,0,0,0,0,0,0,0,0,43," 1,902,713 "
ago-20,1,0,,42,0,0,0,0,0,0,0,0,0,43," 1,951,324 "
sep-20,1,0,,42,0,0,0,0,0,0,0,0,0,43," 1,962,034 "
oct-20,1,0,,41,0,0,0,0,0,0,0,0,0,43," 1,969,668 "
nov-20,1,0,,41,0,0,0,0,0,0,0,0,0,43," 1,975,389 "
dic-20,1,0,,41,0,0,0,0,0,0,0,0,0,43," 1,979,883 "
Nunca 0-15,,,,,,,,,,,,,,,
ene-16,3,0,0,1,23,0,0,0,0,0,0,0,0,26," 747,940 "
feb-16,3,0,0,2,20,0,0,0,0,0,0,0,0,26," 669,061 "
mar-16,4,0,0,3,18,0,0,1,0,0,0,0,0,26," 597,689 "
abr-16,5,0,0,4,16,0,0,1,0,0,0,0,0,26," 531,083 "
may-16,5,0,0,5,14,0,0,1,0,0,0,0,0,26," 469,529 "
jun-16,5,0,0,6,13,0,0,1,0,0,0,0,0,26," 419,191 "
jul-16,6,0,0,7,11,0,0,1,0,0,0,0,0,26," 361,151 "
